,N,Smean,Ssd
0,0.0,8.573060947922428,0.2212669842592722
1,1.0,10.80507686644029,0.26798317132254756
2,2.0,12.759069182209116,0.30285364499349504
3,3.0,14.498368963024458,0.3285369770310512
4,4.0,16.136895123439277,0.3485040486740783
5,5.0,17.769089029262634,0.36529875437946335
6,6.0,19.460018964808917,0.380498856446004
7,7.0,21.253148623806922,0.3950610689151774
8,8.0,23.17876528713666,0.40961751902571003
9,9.0,25.259589963408416,0.42466675101921436
10,10.0,27.51365642127079,0.4406810255701483
11,11.0,29.954787432190155,0.4581445866222192
12,12.0,32.5902471537975,0.4775068289261147
13,13.0,35.41371869293502,0.4989833225875259
14,14.0,38.389098954154264,0.5220476634078749
15,15.0,41.41555592601604,0.5443003265606308
16,16.0,44.25550087404391,0.5591880526264226
17,17.0,46.39640740844672,0.5520885381904209
18,18.0,46.82587629517545,0.496332637871723
19,19.0,43.82106827216702,0.36287204476944296
20,20.0,35.331844796124045,0.22298415299782565
21,21.0,21.315742936484828,0.3157893519505272
22,22.0,7.416037473133751,0.2812695528261889
23,23.0,0.9425273168363278,0.07707470486041082
24,24.0,0.019581568348637227,0.00321414396080207
