rho,lambd,S,Nsum,Nmean,Nsd
31104.22722272989,5689.748433077111,510.0,632323.0,1239.849019607843,13626541.661518646
31428.3226079615,5740.327628920761,512.0,627064.0,1224.734375,13626926.69116211
35850.43400832529,6751.494459339662,521.0,636786.0,1222.2380038387716,13758645.40976492
33622.342803969164,6217.316425138763,514.0,645867.0,1256.5505836575876,14132632.936157249
33309.37549043985,6184.2129194067875,509.0,644925.0,1267.0432220039293,14372019.703436373
33280.09574150655,6304.963344412502,511.0,649731.0,1271.4892367906066,14781533.971997658
33740.40169507892,6327.588989441942,500.0,651854.0,1303.708,15801392.502735998
33197.45719864221,6250.717061898801,505.0,637324.0,1262.0277227722772,14173878.652696798
35692.541256148514,6788.424516677326,506.0,638994.0,1262.8339920948617,14407928.755050069
30711.692929667246,5603.379129374274,511.0,632139.0,1237.0626223091976,13648001.74558921
33160.62914561875,6255.06687476269,502.0,635146.0,1265.231075697211,13827343.58405422
33401.19138544815,6226.467785560986,517.0,625417.0,1209.7040618955511,13227982.958842302
31522.281062107977,5759.209404847639,519.0,631397.0,1216.5645472061658,13452494.126373157
33005.68174659309,6177.715831565645,509.0,644185.0,1265.5893909626718,13850205.279337348
34047.590650222905,6449.176128699898,517.0,629991.0,1218.5512572533848,13186077.620680239
30559.84487403945,5600.551313190164,507.0,630676.0,1243.9368836291912,13194733.104497587
33986.432342398424,6388.619567010004,506.0,641856.0,1268.490118577075,14701344.712352946
32721.994448378315,6243.281217492721,510.0,643434.0,1261.6352941176472,13610995.706205305
32681.768273784466,6105.8373226603035,504.0,646627.0,1282.9900793650793,14713355.458234914
39306.759841542706,7666.260887767994,511.0,655021.0,1281.8414872798435,14657285.268415794
35703.65019777774,6904.565256207714,504.0,632865.0,1255.6845238095239,13615657.584998582
