,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,St,alpha0,beta0,Stdown
0,31104.22722272989,5689.748433077111,510.0,632323.0,1239.849019607843,13626541.661518646,1173.5553025245229,0.049332025039557116,0.021438557446804594,581.5351500139308,0.12357794924926375,1329556.4087489513,
1,31428.3226079615,5740.327628920761,512.0,627064.0,1224.734375,13626926.69116211,1180.0357780000863,0.04873063243895325,0.021143497742949147,583.8770824680787,0.12260861729908205,1321624.349133387,
2,35850.43400832529,6751.494459339662,521.0,636786.0,1222.2380038387716,13758645.40976492,1169.0254934715877,0.04863130498642786,0.021673530679546905,592.3551933270121,0.11965850125337911,1388156.0760106726,
3,33622.342803969164,6217.316425138763,514.0,645867.0,1256.5505836575876,14132632.936157249,1169.5353494507224,0.049996559158527805,0.021973026655032344,585.2175431609189,0.12040158038378405,1398652.6980786575,
4,33309.37549043985,6184.212919406788,509.0,644925.0,1267.0432220039293,14372019.703436373,1154.3691191289627,0.05041404797325177,0.022229241923716437,579.3902861870627,0.12171453483600554,1399698.1902621689,
5,33280.09574150655,6304.963344412502,511.0,649731.0,1271.4892367906066,14781533.971997658,1140.8698854894235,0.0505909492808416,0.022659880334574507,580.9369090530553,0.12545302315754195,1384295.072706785,
6,33740.40169507892,6327.588989441942,500.0,651854.0,1303.708,15801392.502735998,1123.0941506437805,0.05187289313711217,0.023093742010577463,568.5860653243808,0.12270045765790993,1442448.5106433243,
7,33197.45719864221,6250.717061898801,505.0,637324.0,1262.0277227722772,14173878.652696798,1133.3659371241254,0.05021448759955401,0.022374341249500208,574.3844444241673,0.1244819305642574,1377514.3599942748,
8,35692.541256148514,6788.424516677326,506.0,638994.0,1262.8339920948615,14407928.755050069,1125.0458407343492,0.05024656803659218,0.022598868869129974,574.8100710917822,0.12170571155011774,1423075.4768451087,
9,30711.69292966725,5603.379129374274,511.0,632139.0,1237.0626223091976,13648001.74558921,1178.800004396276,0.04922115781368279,0.021336962630631767,582.8503640354926,0.12397710618132726,1318995.4395053445,
10,33160.62914561875,6255.06687476269,502.0,635146.0,1265.231075697211,13827343.58405422,1124.9355244274,0.05034194496267178,0.02246498205674915,570.9013380215343,0.12488655959989142,1378613.6260464438,
11,33401.19138544815,6226.467785560986,517.0,625417.0,1209.7040618955511,13227982.958842302,1171.8739643436927,0.04813259528225527,0.02123483626915677,588.5879848857323,0.12226578495601403,1331055.5134816398,
12,31522.281062107977,5759.209404847639,519.0,631397.0,1216.5645472061658,13452494.126373157,1196.2484044383555,0.04840556531955368,0.021001063247096656,591.8684990509192,0.12246219195318155,1314290.7357504636,
13,33005.68174659309,6177.715831565645,509.0,644185.0,1265.5893909626718,13850205.279337348,1147.5535033856015,0.05035620187409263,0.022335609344831135,579.1591575265719,0.12377313805175554,1383004.507659674,
14,34047.590650222905,6449.176128699898,517.0,629991.0,1218.5512572533848,13186077.62068024,1156.6523660012338,0.04848461400067999,0.021671632873593083,587.8802493612422,0.12393577744930387,1340130.6249517843,
15,30559.84487403945,5600.551313190164,507.0,630676.0,1243.9368836291912,13194733.104497587,1165.2826418019215,0.04949467598097839,0.021534518598468548,578.1287628160586,0.12512074310348958,1319040.240511693,
16,33986.432342398424,6388.619567010004,506.0,641856.0,1268.490118577075,14701344.712352946,1136.1071266735403,0.05047161815869148,0.02247907630249062,575.4350713209222,0.12265786318328105,1404543.7102936765,
17,32721.994448378315,6243.281217492721,510.0,643434.0,1261.6352941176472,13610995.706205305,1133.3092643085834,0.05019887335950519,0.02258997276349517,579.6715982499386,0.1279012062759537,1353609.080828225,
18,32681.768273784463,6105.837322660304,504.0,646627.0,1282.9900793650793,14713355.458234914,1137.276447201105,0.05104855326720387,0.022622881982643554,573.5130696353585,0.12408594504073066,1397260.9753993433,
19,39306.75984154271,7666.260887767994,511.0,655021.0,1281.8414872798437,14657285.268415794,1111.8036154463966,0.05100285224021349,0.023441601675566453,579.0841645004764,0.12050715539441109,1490824.9058586254,
20,35703.65019777774,6904.565256207714,504.0,632865.0,1255.684523809524,13615657.584998582,1106.9619918362841,0.049962099732069616,0.02274775326584768,571.9875160884941,0.1247518402425791,1397474.013180433,
