rho,lambd,S,Nsum,Nmean,Nsd
8215966.046379554,2956878.058257251,294.0,177829.0,604.8605442176871,4173404.351300383
10380785.254485048,3801258.548230394,296.0,176526.0,596.3716216216217,4042195.8551406153
7763660.499776971,2798468.9739302276,293.0,177615.0,606.1945392491467,4151057.2556698387
12983622.777581342,4854084.408619132,292.0,177559.0,608.0787671232877,4118665.2574943714
10791429.907836273,3947180.638313044,294.0,176514.0,600.3877551020408,4108430.366652784
14558827.790067699,5317039.558418695,297.0,177155.0,596.4814814814815,4202038.269859084
8507519.22009914,3044451.9448142857,296.0,177298.0,598.9797297297297,4159705.7428323594
5220254.664059439,1815678.073183891,296.0,177875.0,600.9290540540541,4192460.403750457
8584052.79309313,3087284.760342192,295.0,176961.0,599.8677966101695,4130637.4164205687
19792156.600207485,7414617.202617581,293.0,176872.0,603.6587030716723,4209817.549045417
10296157.426654667,3745083.532405426,296.0,177080.0,598.2432432432432,4117338.1165084
8960841.771340704,3254468.380224495,294.0,176955.0,601.8877551020408,4096661.7322990415
7363061.048883067,2641224.78957191,295.0,177640.0,602.1694915254237,4120630.337374318
5456860.246455706,1925824.9093180173,296.0,176416.0,596.0,4045803.891891892
10004915.338761028,3653430.062661532,293.0,177354.0,605.3037542662116,4152326.4913510927
7117450.872968534,2528976.734279382,295.0,175992.0,596.5830508474576,4112619.551577133
13711534.078686958,5059524.039605534,293.0,178010.0,607.5426621160409,4244629.545108272
9288004.543969952,3353453.7997397417,297.0,177010.0,595.993265993266,4079898.9225135767
5713369.487514544,2019013.9490751768,295.0,177425.0,601.4406779661017,4109814.2735995413
10531267.927224508,3850854.8829972753,294.0,177402.0,603.4081632653061,4126864.976259892
14903429.030434739,5508376.4442979945,295.0,176833.0,599.4338983050848,4151987.533766159
8958584.230135644,3196445.460221757,297.0,177950.0,599.1582491582492,4201711.931186161
10546879.603724318,3845160.4370263796,292.0,176010.0,602.7739726027397,4162435.209185588
11115042.273836277,4033196.216685611,294.0,176998.0,602.0340136054422,4213160.502244434
9659174.184389634,3479141.309609606,295.0,175992.0,596.5830508474576,4127317.85666188
7817550.646227912,2788591.8621988166,297.0,177523.0,597.7205387205387,4120143.171059642
11760167.74499839,4364388.180154692,291.0,177273.0,609.1855670103092,4150280.5566301765
11377640.90635736,4168701.237658904,293.0,176981.0,604.0307167235495,4145915.9888175763
8469676.501494603,3048631.8348617423,293.0,178172.0,608.0955631399318,4232880.700765298
9347043.52928631,3381708.0298117343,294.0,177150.0,602.5510204081633,4153580.1521588224
9492353.94920954,3421716.9292989066,298.0,177703.0,596.3187919463087,4093335.364814648
8906231.051082939,3229841.093729618,293.0,177517.0,605.8600682593857,4169574.3183030677
13007039.233278982,4777390.597909339,297.0,177528.0,597.7373737373738,4138306.5370880524
8196186.410565655,2962563.1917163357,295.0,177357.0,601.2101694915254,4106087.304981327
10319238.330230929,3758385.856571504,292.0,177236.0,606.972602739726,4225653.91705761
15304398.422141522,5704329.430291371,297.0,177994.0,599.3063973063973,4073506.3202621047
5792103.388334777,2059389.1188541567,293.0,177888.0,607.1262798634813,4168965.6734731914
10227391.228587573,3743891.7125814594,292.0,177290.0,607.1575342465753,4172543.564224056
6449691.623281406,2299237.097624364,293.0,176493.0,602.3651877133105,4115401.5628836686
9392864.847610269,3394115.2511921413,295.0,176204.0,597.3016949152542,4122226.563217466
10567886.4722073,3834161.861679582,294.0,176469.0,600.234693877551,4158647.029952797
8729587.993498052,3174195.041645093,291.0,177209.0,608.9656357388316,4171330.294351743
11835902.230104972,4327029.273260534,296.0,177410.0,599.3581081081081,4131656.635272097
9986143.566684842,3633118.7273359546,295.0,176914.0,599.7084745762712,4095498.7217925903
9541303.109850459,3477436.710403069,295.0,176674.0,598.8949152542373,4044044.5076012644
6993547.752509978,2499050.546623482,292.0,176890.0,605.7876712328767,4181691.7768343035
4892421.717583109,1686400.3495494805,298.0,177449.0,595.4664429530201,4150666.4904846624
13662644.057904316,5052123.123197924,295.0,176393.0,597.9423728813559,4068969.552611319
8923162.893027315,3240125.5819014832,295.0,176125.0,597.0338983050848,4040465.3954610745
6678258.543811678,2389942.8889907785,294.0,177059.0,602.2414965986394,4086067.332835855
8620452.939417927,3089517.9872028083,296.0,177531.0,599.7668918918919,4157902.3612011494
10887202.139458574,3947491.9064777507,295.0,176112.0,596.9898305084746,4130836.0846423446
15965769.018493991,5991593.882667914,292.0,177651.0,608.3938356164383,4178254.3620167947
13461190.261854947,4951747.178892748,295.0,177530.0,601.7966101694915,4180504.3247342715
14419473.807535984,5353929.998635134,293.0,177288.0,605.0784982935154,4176843.7719950145
6468306.2208873555,2298909.9558210117,296.0,177881.0,600.9493243243244,4120607.642702247
20049459.837777406,7548771.054241041,295.0,177136.0,600.4610169491525,4147611.455259982
7839261.03323074,2790000.569421799,295.0,176927.0,599.7525423728814,4171645.9082562486
10919120.258942079,3971427.5249383086,295.0,177590.0,602.0,4186522.7186440676
10294994.105109746,3759095.755347044,295.0,177517.0,601.7525423728814,4109545.698086757
13682917.706662737,5094504.199512579,293.0,177108.0,604.4641638225256,4139655.48421065
10492176.206759632,3830844.8751677135,294.0,177129.0,602.4795918367347,4148443.39244065
13988633.434538234,5232409.439434398,293.0,176875.0,603.6689419795222,4099925.3818681645
11722625.715000935,4254843.786401177,297.0,177385.0,597.2558922558923,4149492.2442834633
9285645.865868822,3347585.940433885,296.0,177093.0,598.2871621621622,4124143.3736189734
13374081.929798028,4988842.59578857,291.0,175498.0,603.0859106529209,4092352.497773999
8674408.355166603,3128874.6764729116,295.0,177186.0,600.6305084745762,4102455.968560757
8147671.48507764,2923038.8041624106,296.0,177564.0,599.8783783783783,4110941.708181154
6808021.200487647,2427472.6565484363,293.0,177102.0,604.4436860068259,4147653.0249857306
15315094.572150718,5675348.815168466,295.0,176959.0,599.8610169491525,4151714.5332260844
11991048.2928797,4410343.641648027,293.0,177230.0,604.8805460750854,4158837.9004065283
7882432.131652541,2792652.0070133265,299.0,178128.0,595.7458193979933,4129317.5541213187
13618478.487349788,5023795.147868022,297.0,176576.0,594.5319865319865,4064559.9728825856
9580384.088096771,3474953.1337086065,297.0,176557.0,594.4680134680135,4042195.4139600275
10169078.406801201,3723181.218705831,292.0,177168.0,606.7397260273973,4146634.0623944458
10529016.139140032,3824517.29042901,295.0,176436.0,598.0881355932204,4110485.7549439818
9448663.609847523,3401996.3193517197,297.0,177572.0,597.8855218855219,4126034.478477253
8163617.892174981,2934798.185408962,294.0,176646.0,600.8367346938776,4131307.395113148
14814728.412511926,5472127.353640288,297.0,177075.0,596.2121212121212,4114133.790021427
12182730.47919355,4471617.589217637,294.0,176701.0,601.0238095238095,4142261.4246031744
8687573.340350937,3129236.7625704673,294.0,176318.0,599.7210884353741,4123952.9290110604
7843727.05639163,2812905.3064496936,294.0,178117.0,605.8401360544218,4175463.848593178
13357603.212637171,4913944.495738439,296.0,176511.0,596.3209459459459,4092919.0017234297
8739635.022519017,3162060.4161966913,294.0,177763.0,604.6360544217687,4181530.115842936
9006385.101533383,3217940.2987230793,297.0,176633.0,594.7239057239058,4129177.0887551163
7520142.018264376,2706068.407005918,294.0,178057.0,605.6360544217687,4133862.7008769503
19594045.477360494,7400039.601020547,296.0,178194.0,602.0067567567568,4100621.493197589
10216082.090315083,3714899.596210505,296.0,177131.0,598.4155405405405,4101268.0807044376
10097033.380674673,3684667.5516210105,292.0,176795.0,605.4623287671233,4160531.4335123855
11644540.049234394,4254902.670639329,296.0,176473.0,596.1925675675676,4069688.790620435
19380255.51741904,7283718.110364067,294.0,177061.0,602.2482993197278,4151704.873721598
12737749.69674659,4706100.600635936,295.0,177106.0,600.3593220338983,4112113.2878368283
13595577.458294405,5049337.006970588,290.0,177758.0,612.9586206896552,4254648.191391201
21116944.835377708,7977745.0291740615,297.0,177049.0,596.1245791245791,4070108.465961523
15407431.96671563,5730891.431992144,296.0,177494.0,599.6418918918919,4113040.4258126365
8787570.048193213,3179989.561629901,293.0,177019.0,604.160409556314,4163953.4725622893
13119769.910660814,4842462.5212992225,296.0,177193.0,598.625,4087745.1397804054
8244487.721889785,2983635.7461981685,296.0,177788.0,600.6351351351351,4057676.393900656
10176871.529472921,3699533.3730355315,292.0,178006.0,609.6095890410959,4255536.032510791
7695928.530099295,2762168.6614079867,295.0,176278.0,597.5525423728814,4072545.6370698065
9960932.573918888,3601618.706991402,295.0,176530.0,598.4067796610169,4136990.539615053
