,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,alpha0,beta0,Sdown
0,8215966.046379554,2956878.058257251,294.0,177829.0,604.8605442176871,4173404.351300383,301.45896919969726,0.0015121513605442177,0.0014747363502908392,,0.09132956184580944,8073.7075733518695,293.9758401473903
1,10380785.254485048,3801258.548230394,296.0,176526.0,596.3716216216217,4042195.8551406153,303.4465883555205,0.0014909290540540542,0.00145434161046804,,0.09195656778072657,7907.763662601921,295.97582017157026
2,7763660.499776971,2798468.973930228,293.0,177615.0,606.1945392491467,4151057.255669839,300.4236098471383,0.0015154863481228668,0.0014780379618830068,,0.09218529360154072,8016.668950861289,292.9759061529483
3,12983622.777581342,4854084.408619132,292.0,177559.0,608.0787671232877,4118665.2574943714,299.23668374426154,0.001520196917808219,0.0014834327611362344,,0.09336283221506163,7944.450301802871,291.9765735073632
4,10791429.907836271,3947180.638313044,294.0,176514.0,600.3877551020408,4108430.366652784,301.39535199279186,0.0015009693877551021,0.0014641400309668802,,0.09137395782316267,8011.801534308339,293.9760622495429
5,14558827.7900677,5317039.558418695,297.0,177155.0,596.4814814814815,4202038.269859084,304.48733367333114,0.0014912037037037038,0.001454535052926541,,0.0882373545123259,8242.172835787798,296.97596727473785
6,8507519.22009914,3044451.9448142857,296.0,177298.0,598.9797297297297,4159705.74283236,303.5458431366734,0.0014974493243243242,0.0014602242462613008,,0.09000238201148857,8112.14222127425,295.9755902714387
7,5220254.664059439,1815678.073183891,296.0,177875.0,600.9290540540541,4192460.403750457,303.67415216003116,0.0015023226351351352,0.001464357426659274,,0.09024008728955979,8113.674701801243,295.9750637466087
8,8584052.79309313,3087284.760342192,295.0,176961.0,599.8677966101695,4130637.4164205687,302.4960078301197,0.0014996694915254238,0.0014625069043835155,,0.09076785773281597,8056.303965488242,294.97571738482634
9,19792156.600207485,7414617.202617581,293.0,176872.0,603.6587030716723,4209817.549045417,300.267865565599,0.0015091467576791807,0.0014726184540829518,,0.08970384954238672,8208.223290278711,292.97670668099784
10,10296157.426654669,3745083.532405426,296.0,177080.0,598.2432432432432,4117338.1165084,303.47411846755796,0.001495608108108108,0.0014587734935535385,,0.09087979089032111,8025.840944738029,295.97580612716854
11,8960841.771340704,3254468.380224495,294.0,176955.0,601.8877551020408,4096661.7322990415,301.4228199713746,0.0015047193877551022,0.0014676642599323185,,0.09201858896792275,7974.824850030786,293.97591169857105
12,7363061.048883067,2641224.78957191,295.0,177640.0,602.1694915254237,4120630.337374318,302.5029797844788,0.0015054237288135593,0.0014680847121453264,,0.0918952300447286,7987.81781943828,294.97561702298367
13,5456860.246455706,1925824.9093180173,296.0,176416.0,596.0,4045803.891891892,303.61345435358555,0.00149,0.00145263654714843,,0.09226289302748814,7872.268576683598,295.9751081885404
14,10004915.338761028,3653430.062661532,293.0,177354.0,605.3037542662116,4152326.4913510927,300.3686722443684,0.0015132593856655291,0.001476135965468726,,0.09184328482661835,8036.1670875305335,292.97615022777603
15,7117450.872968534,2528976.734279382,295.0,175992.0,596.5830508474576,4112619.551577133,302.5561418822355,0.001491457627118644,0.0014542094477502103,,0.09061264490861799,8024.318511046483,294.97545995553656
16,13711534.078686958,5059524.039605534,293.0,178010.0,607.5426621160409,4244629.545108272,300.3225360877931,0.0015188566552901022,0.0014818235281214664,,0.0905500655087974,8182.3437663747445,292.9764519108653
17,9288004.543969952,3353453.7997397417,297.0,177010.0,595.993265993266,4079898.9225135767,304.5360684032566,0.0014899831649831652,0.0014531119493341035,,0.09063805128097946,8016.0149561768085,296.9755772511261
18,5713369.487514544,2019013.9490751768,295.0,177425.0,601.4406779661017,4109814.273599541,302.5726447496926,0.0015036016949152543,0.0014659702643209642,,0.09199417714422298,7967.733990504116,294.97531781941444
19,10531267.927224508,3850854.8829972753,294.0,177402.0,603.4081632653061,4126864.976259892,301.39144603448875,0.0015085204081632653,0.0014715248419799177,,0.09156453597423166,8035.45186093685,293.9760859126676
20,14903429.03043474,5508376.4442979945,295.0,176833.0,599.4338983050848,4151987.533766159,302.37957412087115,0.0014985847457627119,0.0014620117819971693,,0.09003818764924153,8118.84279419681,294.97624193225295
21,8958584.230135644,3196445.460221757,297.0,177950.0,599.1582491582492,4201711.931186161,304.5846556594356,0.001497895622895623,0.0014605955741165992,,0.0889891815098394,8206.590673918623,296.97553710299024
22,10546879.603724318,3845160.43702638,292.0,176010.0,602.7739726027397,4162435.209185588,299.35559926086256,0.0015069349315068492,0.0014699073646407936,,0.0910385483076761,8072.994308263016,291.97622556080853
23,11115042.273836276,4033196.216685611,294.0,176998.0,602.0340136054422,4213160.502244434,301.42904332535363,0.0015050850340136055,0.0014679905928055644,,0.08971527573228137,8181.385950293368,293.9760667526152
24,9659174.184389634,3479141.309609606,295.0,175992.0,596.5830508474576,4127317.85666188,302.4954950325439,0.001491457627118644,0.001454500999932792,,0.08984008534160405,8094.944447137713,294.9757681079544
25,7817550.646227912,2788591.8621988166,297.0,177523.0,597.7205387205387,4120143.171059642,304.587783227519,0.0014943013468013467,0.0014570758396717687,,0.09031412013870681,8066.711149009442,296.9754062679145
26,11760167.74499839,4364388.180154692,291.0,177273.0,609.1855670103092,4150280.556630177,298.2414883692371,0.001522963917525773,0.0014859854087480914,,0.093048334664774,7985.01882973867,290.9765640732714
27,11377640.90635736,4168701.237658904,293.0,176981.0,604.0307167235495,4145915.988817576,300.35728561144276,0.0015100767918088738,0.0014730872903558556,,0.0911451300486079,8080.998346100637,292.9762405467875
