,R,Smean,Ssd
250,264.0,269.8314909397593,
251,265.0,270.09989100362793,
252,266.0,270.36726032148454,
253,267.0,270.6336065925348,
254,268.0,270.89893743034554,
255,269.0,271.1632603640603,
256,270.0,271.42658283961833,
257,271.0,271.6889122210317,
258,272.0,271.95025579153616,
259,273.0,272.2106207547801,
260,274.0,272.4700142359778,
261,275.0,272.7284432830619,
262,276.0,272.9859148677717,
263,277.0,273.24243588675023,
264,278.0,273.49801316263284,
265,279.0,273.75265344507096,
266,280.0,274.00636341180734,
267,281.0,274.2591496696828,
268,282.0,274.511018755598,
269,283.0,274.7619771375503,
270,284.0,275.01203121556716,
271,285.0,275.2611873226394,
272,286.0,275.5094517257252,
273,287.0,275.7568306265426,
274,288.0,276.0033301625971,
275,289.0,276.24895640799065,
276,290.0,276.4937153742957,
277,291.0,276.7376130114615,
278,292.0,276.9806552085548,
279,293.0,277.2228477947037,
280,294.0,277.464196539815,
281,295.0,277.70470715543314,
282,296.0,277.9443852954678,
283,297.0,278.1832365570275,
284,298.0,278.42126648114214,
285,299.0,278.6584805534858,
286,300.0,278.89488420515806,
287,301.0,279.13048281341753,
288,302.0,279.3652817022973,
289,303.0,279.5992861434179,
290,304.0,279.8325013565739,
291,305.0,280.0649325105144,
292,306.0,280.29658472348467,
293,307.0,280.52746306400167,
294,308.0,280.75757255139666,
295,309.0,280.9869181565115,
296,310.0,281.21550480230275,
297,311.0,281.4433373644451,
298,312.0,281.67042067192455,
299,313.0,281.89675950767156,
300,314.0,282.12235860911454,
301,315.0,282.34722266875497,
302,316.0,282.57135633476275,
303,317.0,282.794764211479,
304,318.0,283.01745085999653,
305,319.0,283.2394207987189,
306,320.0,283.4606785038674,
307,321.0,283.6812284099629,
308,322.0,283.9010749104521,
309,323.0,284.12022235809945,
310,324.0,284.3386750655364,
311,325.0,284.55643730575963,
312,326.0,284.7735133126251,
313,327.0,284.98990728125057,
314,328.0,285.20562336859024,
315,329.0,285.42066569383263,
316,330.0,285.63503833884914,
317,331.0,285.84874534869334,
318,332.0,286.0617907319663,
319,333.0,286.274178461342,
320,334.0,286.48591247394137,
321,335.0,286.6969966717439,
322,336.0,286.90743492206116,
323,337.0,287.1172310578443,
324,338.0,287.3263888782186,
325,339.0,287.5349121487973,
326,340.0,287.74280460208115,
327,341.0,287.9500699378599,
328,342.0,288.1567118236064,
329,343.0,288.36273389480345,
330,344.0,288.5681397553625,
331,345.0,288.77293297799076,
332,346.0,288.9771171044894,
333,347.0,289.1806956461877,
334,348.0,289.38367208422204,
335,349.0,289.586049869928,
336,350.0,289.7878324251628,
337,351.0,289.9890231426307,
338,352.0,290.18962538622907,
339,353.0,290.3896424913734,
340,354.0,290.58907776528736,
341,355.0,290.78793448737906,
342,356.0,290.9862159094685,
343,357.0,291.1839252561758,
344,358.0,291.38106572515295,
345,359.0,291.57764048750016,
346,360.0,291.77365268786673,
347,361.0,291.96910544496257,
348,362.0,292.1640018516402,
349,363.0,292.3583449753664,
350,364.0,292.55213785833405,
351,365.0,292.74538351785225,
352,366.0,292.9380849465441,
353,367.0,293.1302451127098,
354,368.0,293.3218669604483,
355,369.0,293.51295341004686,
356,370.0,293.703507358187,
357,371.0,293.89353167819223,
358,372.0,294.08302922025626,
359,373.0,294.27200281176835,
360,374.0,294.4604552574766,
361,375.0,294.64838933974795,
362,376.0,294.83580781884575,
363,377.0,295.0227134331417,
364,378.0,295.2091088992784,
365,379.0,295.3949969125148,
366,380.0,295.58038014687605,
367,381.0,295.7652612553792,
368,382.0,295.9496428702714,
369,383.0,296.1335276032807,
370,384.0,296.31691804570653,
371,385.0,296.4998167688001,
372,386.0,296.68222632383174,
373,387.0,296.86414924234055,
