,R,Smean,Ssd
0,63.078313050504,204.98780542826535,
1,64.63603682283014,206.43954156129385,
2,66.15709285501535,207.81816163967306,
3,67.64395474757512,209.13041678734766,
4,69.0988298942671,210.38217533376073,
5,70.52369794346954,211.57856942716143,
6,71.92034239689491,212.72411252403023,
7,73.29037678543799,213.8227944170364,
8,74.63526651802307,214.87815875396007,
9,75.95634724683123,215.8933667729827,
10,77.25484040463792,216.87125008802533,
11,78.53186642892773,217.8143547016484,
12,79.78845608028654,218.7249779348325,
13,81.02556018035717,219.6051995959425,
14,82.24405803099427,220.4569084318308,
15,83.44476472655681,221.28182469133182,
16,84.62843753216345,222.08151946531828,
17,85.79578146972122,222.85743133940656,
18,86.9474542287756,223.6108807942291,
19,88.0840704993241,224.3430827083812,
20,89.20620580763855,225.05515725556396,
21,90.31439992304459,225.74813943680223,
22,91.40915989289314,226.42298744700753,
23,92.490962754149,227.08059004290115,
24,93.56025796273889,227.7217730513363,
25,94.617469575756,228.34730513544028,
26,95.66299821657266,228.95790291761708,
27,96.69722284868811,229.55423554338444,
28,97.720502380584,230.13692875753569,
29,98.73317712085735,230.70656855381515,
30,99.73557010035817,231.26370445009883,
31,100.72798827589246,231.80885243458368,
32,101.71072362820549,232.34249762143625,
33,102.68405416537695,232.86509664967258,
34,103.64824484140064,233.37707985437962,
35,104.60354839855006,233.87885323567488,
36,105.5502061411188,234.37080024749727,
37,106.48844864724785,234.85328342577412,
38,107.41849642478903,235.3266458725681,
39,108.34056051649023,235.79121261160947,
40,109.25484305920791,236.24729182803628,
41,110.16153780134435,236.69517600410077,
42,111.06083058226194,237.13514296107115,
43,111.95289977703462,237.5674568164887,
44,112.83791670955127,237.99236886484357,
45,113.71604603668075,238.41011838889045,
46,114.58744610593853,238.820933408171,
47,115.45226928885475,239.22503137011356,
48,116.31066229203195,239.62261978937872,
49,117.16276644769009,240.01389683968424,
50,118.0087179853287,240.39905190227597,
51,118.84864828598478,240.77826607520635,
52,119.6826841204298,241.15171264597944,
53,120.5109478725292,241.51955753139663,
54,121.33355774887802,241.8819596869852,
55,122.15062797572998,242.239071488286,
56,122.96226898414837,242.5910390867145,
57,123.76858758422885,242.9380027417162,
58,124.56968712917198,243.2800971310046,
59,125.36566766991936,243.61745164109067,
60,126.156626101008,243.95019063875256,
61,126.94265629824517,244.27843372573105,
62,127.72384924875728,244.60229597748545,
63,128.50029317392293,244.92188816707085,
64,129.27207364566027,245.23731697559364,
65,130.03927369650248,245.54868518993317,
66,130.8019739238623,245.8560918885957,
67,131.5602525888561,246.159632617,
68,132.3141857100307,246.4593995521116,
69,133.06384715231013,246.7554816579734,
70,133.80930871145785,247.0479648322451,
71,134.55064019432643,247.33693204466547,
72,135.28790949515025,247.62246346755958,
73,136.02118266811544,247.90463659946744,
74,136.75052399642826,248.1835263817873,
75,137.4759960580849,248.4592053094204,
76,138.1976597885342,248.7317435353576,
77,138.91557454041038,249.00120896969,
78,139.62979814050144,249.2676673736156,
79,140.3403869441083,249.5311824486035,
80,141.04739588693909,249.79181592079524,
81,141.75087853467357,250.04962762140022,
82,142.4508871303252,250.30467556281792,
83,143.1474726395179,250.55701601121376,
84,143.84068479378982,250.80670355545965,
85,144.53057213202771,251.0537911725232,
86,145.2171820401296,251.29833028999462,
87,145.90056078898738,251.54037084552075,
88,146.58075357087597,251.7799613433541,
89,147.25780453432932,252.01714890824923,
90,147.93175681757995,252.25197933710095,
91,148.60265258063356,252.48449714784462,
92,149.27053303604615,252.71474562649124,
93,149.93543847846718,252.94276687164862,
94,150.59740831300877,253.16860183741125,
95,151.2564810824976,253.39229037409214,
96,151.91269449366246,253.6138712673978,
97,152.56608544230824,253.83338227552736,
98,153.21669003752353,254.05086016509676,
99,153.86454362496718,254.26634074525776,
100,154.50968080927584,254.4798589003578,
101,155.15213547563297,254.69144862144933,
102,155.79194081053757,254.9011430361301,
103,156.42912932180792,255.10897443744676,
104,157.06373285785546,255.31497431156163,
105,157.69578262626,255.5191733640258,
106,158.32530921167822,255.7216015453795,
107,158.95234259311306,255.92228807546746,
108,159.57691216057307,256.12126146681874,
109,160.1990467311467,256.3185495472141,
110,160.81877456451716,256.51417948120024,
111,161.43612337794121,256.7081777908517,
112,162.05112036071435,256.90057037589435,
113,162.6637921881437,257.09138253259505,
114,163.27416503504915,257.28063897252525,
115,163.88226458881186,257.4683638401399,
116,164.48811606198853,257.6545807299358,
117,165.09174420450915,257.8393127029582,
118,165.69317331547472,258.02258230254455,
119,166.2924272545711,258.20441156967627,
120,166.88952945311362,258.3848220576496,
121,167.48450292473794,258.5638348463,
122,168.07737027574956,258.74147055562054,
123,168.6681537151465,258.9177493590014,
