,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,r,xi,xip
0,706571.2993137639,246299.74070989137,220.0,11396.0,796.6988430339164,5341936.027573167,286.0804957768681,0.002072,0.0015933976860678328,182.44932268242863,0.11883776239974798,0.9998508595312783,0.9970256190364147
1,14723114.438595386,6514210.839261662,227.0,10754.0,728.5567520401223,4186246.850487138,295.2137900001994,0.001894977973568282,0.0014571135040802445,196.0528134507641,0.12681701612384502,0.9998259642161438,0.9965307560022462
2,398079.9885734391,132163.58324736712,215.0,11324.0,811.1323246269961,5512792.268919495,279.2146153269729,0.0021067906976744185,0.0016222646492539921,176.13709373869378,0.11936464072539388,0.9998528636151955,0.9970654760336136
3,529693.8185639095,177677.27385822375,219.0,10919.0,763.7009734659766,5031586.031288145,285.9496158671965,0.001994337899543379,0.0015274019469319533,180.19984695141156,0.11593316928693814,0.9998482186394674,0.996973101896881
4,1187932.2792428653,418233.57449220726,235.0,11424.0,741.6427354807157,4911916.815632424,308.0728618637443,0.0019445106382978724,0.0014832854709614315,196.1426944947583,0.11199640162028096,0.9998490115441042,0.9969888691560197
5,533080.326206055,177612.8125479743,228.0,11304.0,758.4157684081017,5029186.760126516,298.0950679263131,0.001983157894736842,0.0015168315368162032,187.51226920285407,0.11438852030484217,0.9998491971357236,0.996992559795813
6,743220182.271539,396337800.67739415,226.0,11100.0,758.2325653874198,4443139.91921808,292.78615840849415,0.001964601769911504,0.0015164651307748396,200.25880646011228,0.12941630498373136,0.9998293475832017,0.9965979823521718
7,8828684814.344948,4859118077.312187,229.0,11090.0,740.8783485687468,4705288.781935914,299.374385050502,0.001937117903930131,0.0014817566971374934,204.5315971999527,0.11667449000984807,0.9998425434903352,0.9968602628756307
8,36755.40633564844,10245.551884255028,230.0,11701.0,797.8271255362016,4231836.128768859,293.3216890096591,0.0020349565217391303,0.001595654251072403,173.27462457245403,0.15044253369063862,0.9998114702220834,0.9962428627544258
9,18564574.003675263,8270436.155053401,226.0,11070.0,754.1376968123785,4533085.625085617,293.58033809451916,0.0019592920353982304,0.0015082753936247568,195.67297878285913,0.12548148063219788,0.9998336370059636,0.996683224105869
10,6786405.623578071,2673844.513848232,225.0,11035.0,748.0058442018308,5053866.43324599,295.0511706703318,0.0019617777777777776,0.0014960116884036613,192.3832851341176,0.11072622797162181,0.9998519933492344,0.9970481679095324
11,59550716.24385832,26289884.30060548,232.0,10978.0,720.0203241886037,4697512.524088675,304.93583670353166,0.0018927586206896553,0.0014400406483772075,202.06493270867946,0.11037942741331241,0.9998467230644951,0.9969433630169441
12,8790940.055847688,3467232.2259107428,220.0,10787.0,746.3952569498838,5169783.463627281,289.04256557258077,0.0019612727272727273,0.0014927905138997673,188.52182147164726,0.10777749747747982,0.999855623497154,0.9971203692125077
13,3386110175.7885504,1834910154.289536,226.0,10857.0,736.2995022607302,4507834.504813934,294.9071666262092,0.0019215929203539824,0.0014725990045214602,201.2113771563986,0.12028514408460937,0.9998366622595674,0.9967433519285568
14,474969.7957903857,164286.108441122,222.0,10664.0,738.4216983031084,4367122.317133218,288.8322492284788,0.0019214414414414414,0.0014768433966062169,182.6281860568827,0.12487830149220891,0.9998309134380308,0.9966290982701155
15,82375799.1885035,44298288.47392642,233.0,11036.0,742.408561715705,3524109.3226106046,297.3026058453804,0.0018945922746781117,0.0014848171234314099,204.70830824582518,0.1564328910256475,0.9997893344122577,0.9958034854082001
16,9799068437.175644,5553963099.371538,219.0,10621.0,744.9098240311246,4521990.06323929,285.1620332384345,0.0019399086757990866,0.0014898196480622493,195.76375430241632,0.1227296081299479,0.9998352694690582,0.9967156689435398
17,334226507.3218838,171452521.94298428,217.0,11038.0,785.9184846973027,4845544.991678773,280.89427122333933,0.002034654377880184,0.0015718369693946052,191.65751818532578,0.1274919671457853,0.9998378059669145,0.9967660852501332
18,422455338.9156114,206796656.01752576,221.0,11196.0,775.9584730141064,5262301.668288219,288.572143725956,0.002026425339366516,0.0015519169460282126,195.10235746810164,0.11443668339758642,0.9998525439015231,0.9970591174008695
19,351024.7552850839,126227.3279226218,230.0,12107.0,822.2281576057959,4790396.9261460975,294.49246873893867,0.0021055652173913044,0.001644456315211592,189.31077829968058,0.14115222870284294,0.9998283590753998,0.9965783401483463
20,5704973.941627597,2352113.9153220328,232.0,10839.0,716.1440482296787,4168998.400370495,302.7044636283499,0.0018687931034482759,0.001432288096459357,198.29260182936324,0.12303924405236849,0.9998282215584046,0.99657560766688
21,1213264.23610253,460390.6271930373,220.0,10962.0,769.3469646430369,4612899.9330994645,284.96895428933476,0.001993090909090909,0.0015386939292860737,184.6225495087342,0.128334343737975,0.9998332183711329,0.9966749041557779
22,590162.7570536651,209700.3784497089,221.0,11152.0,778.871687357574,4790620.286892353,286.36295762231765,0.0020184615384615384,0.001557743374715148,182.96127069890318,0.1266516055085869,0.9998374173612781,0.9967583608761699
23,11661323.247947223,5199797.535303051,217.0,10830.0,772.4334808307946,4525417.997575459,280.4124955420561,0.0019963133640553,0.001544866961661589,187.39965603184146,0.13186745212556036,0.9998293122356333,0.9965972799635059
24,487874965.2272956,242819293.59329903,225.0,11354.0,773.961910740795,5126039.8760186,293.3994513795274,0.002018488888888889,0.0015479238214815899,198.8148736993556,0.11687530936271658,0.9998490136773298,0.9969889115767933
25,439144.0029552351,139582.17667232922,227.0,10801.0,723.3329699093729,4828027.715612607,298.64531133851864,0.001903259911894273,0.0014466659398187458,185.29681550921887,0.1083856628637706,0.9998501804437513,0.9970121141060603
26,48836157562.13721,28194755818.11472,228.0,10893.0,729.9587974235063,4598407.246036234,298.45520153872786,0.0019110526315789475,0.0014599175948470126,204.60631045425066,0.1158932679800967,0.9998412583404716,0.9968347136029255
27,8067777.384501755,3616933.056320908,225.0,10712.0,737.9776133040126,3929726.7443265663,290.306909231057,0.0019043555555555557,0.001475955226608025,193.68053123584488,0.1386135186620737,0.9998122063793954,0.9962574811899005
28,361830.2200652743,121634.26878145228,218.0,11371.0,805.346836402731,5224883.436645026,282.387649296326,0.002086422018348624,0.0016106936728054618,178.44931097759533,0.12415272431879883,0.9998458631955779,0.9969262656477803
29,317484.8714885378,112284.56021478352,221.0,11564.0,816.0998135683365,4779581.223852365,283.39670730807444,0.0020930316742081446,0.001632199627136673,181.32092427009468,0.1393705043915999,0.9998292528622601,0.9965961001621361
30,792713468.014885,398150485.7344718,230.0,11104.0,737.5481901457772,4740710.0143545335,301.1057487051872,0.0019311304347826087,0.0014750963802915543,203.47574936405448,0.11476381702012312,0.9998444224202888,0.9968976189635015
31,10754454.82683698,4776704.634884356,223.0,11281.0,783.6595629521661,4652444.391867623,287.9056297737946,0.002023497757847534,0.0015673191259043323,192.49745037894712,0.13202216282486973,0.9998315596067474,0.9966419391636173
32,68274316.12372583,32786772.10433201,221.0,11164.0,780.4728571096599,4757443.766954908,286.0829790120788,0.002020633484162896,0.0015609457142193198,193.4118110524432,0.12805991154361315,0.9998359470137028,0.9967291355804964
33,753743.3697595303,292267.2120962149,223.0,11187.0,782.4117467810139,4274627.594885523,285.96196429885873,0.0020066367713004484,0.0015648234935620277,186.4118018821942,0.14323591877311212,0.9998169637636464,0.9963519620126494
34,95847.62209386924,27068.23301419084,232.0,11522.0,761.975050730557,4886286.611698673,302.42460009558266,0.001986551724137931,0.0015239501014611139,180.99591645070208,0.11884209396479482,0.9998440584617149,0.9968903826859372
35,7539741.835724173,3365892.100496229,225.0,11540.0,798.5464279660109,4603838.294953937,289.02514859139,0.0020515555555555556,0.0015970928559320217,193.86369700861712,0.13853375865839054,0.9998265476811292,0.9965423486378684
36,1567853114.7233603,870761670.7834401,223.0,11213.0,779.0512181752164,4570881.843707851,287.86297327830073,0.002011300448430493,0.0015581024363504328,198.38319414659009,0.13280243970391167,0.9998295621622231,0.9966022462546915
37,20065452967.411774,11607041780.7862,225.0,11102.0,758.4723255813956,4702521.625281887,292.7463435528759,0.0019736888888888886,0.0015169446511627911,201.6296210021591,0.12235415735714682,0.9998387094444173,0.9967840442508463
38,63784363.98534364,29220465.58396896,225.0,11329.0,772.5890759001496,5070491.807552674,293.27362639189516,0.0020140444444444443,0.001545178151800299,196.51064437026366,0.11773706875616424,0.9998476303472674,0.9969614037525931
