rho,lambd,S,Nsum,Nmean,Nsd
706571.2993137639,246299.74070989137,220.0,11396.0,51.8,24954.687272727275
14723114.438595386,6514210.839261662,227.0,10754.0,47.37444933920705,19272.877408837743
398079.98857343907,132163.58324736712,215.0,11324.0,52.669767441860465,26019.421179015684
529693.8185639095,177677.27385822375,219.0,10919.0,49.858447488584474,23444.3589583203
1187932.2792428653,418233.57449220726,235.0,11424.0,48.61276595744681,22488.850049796292
533080.326206055,177612.8125479743,228.0,11304.0,49.578947368421055,22602.88411819021
743220182.271539,396337800.67739415,226.0,11100.0,49.11504424778761,19678.977915263524
8828684814.344948,4859118077.312187,229.0,11090.0,48.427947598253276,19085.930397971057
36755.40633564844,10245.551884255028,230.0,11701.0,50.87391304347826,20688.840623818523
18564574.003675263,8270436.155053401,226.0,11070.0,48.982300884955755,20330.716500900617
6786405.623578071,2673844.513848232,225.0,11035.0,49.044444444444444,22771.331358024694
59550716.24385832,26289884.30060548,232.0,10978.0,47.31896551724138,21545.2258472057
8790940.055847688,3467232.2259107428,220.0,10787.0,49.03181818181818,23329.46716942149
3386110175.7885504,1834910154.289536,226.0,10857.0,48.03982300884956,19782.578060145668
474969.7957903857,164286.108441122,222.0,10664.0,48.03603603603604,19335.223926629333
82375799.1885035,44298288.47392642,233.0,11036.0,47.36480686695279,14746.248890198753
9799068437.175644,5553963099.371538,219.0,10621.0,48.49771689497717,20126.615291591082
334226507.3218838,171452521.94298428,217.0,11038.0,50.866359447004605,22356.475227760202
422455338.9156114,206796656.01752576,221.0,11196.0,50.660633484162894,23688.197047562495
351024.7552850839,126227.3279226218,230.0,12107.0,52.63913043478261,20612.126294896032
5704973.941627597,2352113.9153220328,232.0,10839.0,46.7198275862069,18645.693055142685
1213264.23610253,460390.6271930373,220.0,10962.0,49.82727272727273,21099.80652892562
590162.7570536651,209700.37844970886,221.0,11152.0,50.46153846153846,21490.348068221367
11661323.247947225,5199797.535303051,217.0,10830.0,49.90783410138249,19597.567542313496
487874965.2272956,242819293.59329903,225.0,11354.0,50.46222222222222,23037.590795061726
439144.0029552351,139582.17667232922,227.0,10801.0,47.581497797356825,22749.203710531936
48836157562.13721,28194755818.114716,228.0,10893.0,47.776315789473685,19709.778912742382
8067777.384501755,3616933.0563209075,225.0,10712.0,47.60888888888889,17017.829254320983
361830.2200652743,121634.26878145227,218.0,11371.0,52.1605504587156,23095.749452908007
317484.8714885378,112284.56021478353,221.0,11564.0,52.32579185520362,21284.25585061731
792713468.014885,398150485.7344718,230.0,11104.0,48.278260869565216,22267.09648393195
10754454.826836979,4776704.634884356,223.0,11281.0,50.587443946188344,20656.107824408296
68274316.12372583,32786772.104332015,221.0,11164.0,50.515837104072396,20694.910382670296
753743.3697595303,292267.2120962149,223.0,11187.0,50.16591928251121,19454.550946128016
95847.62209386923,27068.23301419084,232.0,11522.0,49.66379310344828,24546.085240784778
7539741.835724173,3365892.100496229,225.0,11540.0,51.28888888888889,19240.51654320988
1567853114.7233605,870761670.7834401,223.0,11213.0,50.28251121076233,19984.597317460637
20065452967.411774,11607041780.786201,225.0,11102.0,49.34222222222222,20568.927328395057
63784363.985343635,29220465.58396896,225.0,11329.0,50.35111111111111,21998.832276543213
621520.4962159347,232925.14211369015,224.0,10698.0,47.75892857142857,17805.057955994893
2050133532.907762,1078270637.378392,219.0,10988.0,50.17351598173516,22104.05208398491
14774300925.347527,7995739119.25198,239.0,11328.0,47.39748953974895,20386.39848742144
166728.8410032745,49587.64832567578,216.0,11543.0,53.43981481481482,27339.181562928672
474428.49936571374,164185.5267142186,224.0,10787.0,48.15625,21123.408621651786
725595523565.9805,426731693915.1162,215.0,10695.0,49.74418604651163,23506.869442942127
110341.96281930545,33357.77669375978,216.0,11232.0,52.0,22580.75
32807269.00376232,14538966.894017592,224.0,11050.0,49.330357142857146,21735.953364158162
128510567488.00043,78752079334.00069,215.0,10959.0,50.972093023255816,21709.43177934018
1319897.9278623457,581296.6946355144,218.0,10716.0,49.15596330275229,16189.49861122801
3827000.915812288,1600159.882820205,227.0,11111.0,48.947136563876654,19214.323196646546
914523.2405781772,324513.0389355264,215.0,10927.0,50.82325581395349,23774.88969172526
447772310.3874085,225680893.55589044,229.0,10915.0,47.66375545851528,19431.052878472954
73406024789.68599,44196118889.266525,224.0,10627.0,47.441964285714285,19090.80020328444
1333108.5888891483,484419.07163193985,228.0,11045.0,48.44298245614035,22437.334468297937
237859534.4984877,120293207.79669079,235.0,10889.0,46.33617021276596,18038.989117247624
43647135447.61833,24920978831.88063,225.0,10925.0,48.55555555555556,21560.46913580247
6399259.883247358,2746787.0262211263,234.0,10827.0,46.26923076923077,16936.68392504931
7967225.628879875,3585627.662890072,220.0,11048.0,50.21818181818182,18948.706942148758
17203040.801394112,7724174.2327446,233.0,11425.0,49.0343347639485,19644.09324172484
39677583.406357765,17915061.53990116,222.0,11088.0,49.945945945945944,21588.83491599708
657349.525785181,224306.31185739528,222.0,11215.0,50.51801801801802,23120.285711387063
82381262015.11491,47014615887.41193,232.0,10676.0,46.01724137931034,19247.05142687277
10116793.00734391,4063819.108998024,225.0,11726.0,52.11555555555555,24452.431091358016
94908244.3459621,42804155.12301749,220.0,11319.0,51.45,24014.7475
129367639.09661004,60962187.49039317,220.0,11479.0,52.17727272727273,25254.95493801653
1341859183.0238295,691617114.6306287,215.0,11219.0,52.181395348837206,24952.976398052997
6742917.902941261,2946260.09230669,221.0,11237.0,50.84615384615385,20094.066829098505
4448818.844004819,1701955.3779912782,221.0,11551.0,52.26696832579186,26511.43551524334
1511024.138631991,589950.7685869163,216.0,11085.0,51.31944444444444,22269.541473765432
7999188.663413569,3370487.6531989556,232.0,10671.0,45.99568965517241,18801.14222280024
719096906.5440147,345676623.8586358,224.0,10667.0,47.620535714285715,21835.628328284434
3295189.4756196057,1291836.410039966,224.0,11235.0,50.15625,22830.908621651786
33338398436.009796,18955040305.844604,217.0,11175.0,51.49769585253456,23955.475801142522
81379979.72790033,38669485.531384975,228.0,10954.0,48.04385964912281,19591.41912896276
25126153.033224653,11585079.688282195,224.0,10828.0,48.339285714285715,18894.563456632655
6969095.090893149,2901762.6653132904,222.0,11295.0,50.87837837837838,21990.341064037013
132129.2950826441,42694.52251076572,228.0,11126.0,48.79824561403509,19591.81894429055
17797064.415853746,7425737.841403875,224.0,10818.0,48.294642857142854,21330.127471301017
13117394137.833122,7203537989.796558,222.0,10544.0,47.4954954954955,21355.087817547275
378255.22173589905,131997.35999795533,218.0,10805.0,49.56422018348624,20738.68624274051
27089597.467697416,11958269.824128326,229.0,10958.0,47.851528384279476,20174.31856753304
2514106351.144201,1327195903.693161,239.0,11157.0,46.68200836820084,19698.116454543862
2260368980.7760077,1158588280.4707575,219.0,11205.0,51.16438356164384,23999.781197222746
5272967.220788021,2094326.6128130385,232.0,11743.0,50.616379310344826,22666.94335240785
15535504.743529707,6703537.951250086,219.0,10372.0,47.36073059360731,20244.778549237915
17002982342.15604,10235185064.884624,218.0,10339.0,47.42660550458716,17457.37305361502
159302928.86879474,73962046.09345739,218.0,10622.0,48.72477064220183,21796.40131302079
6730613628.787588,3640528885.1309104,230.0,10750.0,46.73913043478261,19462.053686200383
32747345.58593481,14322006.163730204,231.0,11456.0,49.59307359307359,22604.60497366991
12921035861.680626,7932590963.510284,213.0,11331.0,53.19718309859155,21523.594921642532
26887337.716901973,12449572.312331015,220.0,11089.0,50.404545454545456,20845.386342975205
