rho,lambd,S,Nsum,Nmean,Nsd
3269062.5314089986,1155162.251231689,283.0,89021.0,314.5618374558304,1055719.8504164116
35452962.45025112,13896131.949322749,283.0,88003.0,310.96466431095405,1080332.0128856646
6933428.863946303,2539875.136795992,277.0,87778.0,316.88808664259926,1093093.326825581
10251663.507085579,3793573.999654039,282.0,88590.0,314.1489361702128,1087906.5664704996
10476860.945288025,3964776.759896977,278.0,89388.0,321.53956834532374,1090652.2124631228
4869682.086071666,1777569.666927892,278.0,89478.0,321.863309352518,1095465.779876818
7938534.844578539,2966669.550528698,281.0,88931.0,316.48042704626334,1061475.1962361166
10788384.591737933,4118678.595232277,281.0,88932.0,316.48398576512454,1051010.2995656086
7415659.214163037,2741318.2979760217,278.0,88780.0,319.3525179856115,1087635.4800476166
12171231.398116026,4528925.170217821,283.0,87906.0,310.6219081272085,1085152.510756783
4943003.186580818,1769848.455264755,282.0,89798.0,318.4326241134752,1097332.3305668728
12688905.489466975,4861777.36143065,279.0,88517.0,317.2652329749104,1080596.1590421498
6849253.194717027,2501942.8069057073,285.0,88819.0,311.6456140350877,1046594.6358140969
8206330.1130186785,3030684.104586156,276.0,88823.0,321.82246376811594,1130613.8271765383
4803854.76111421,1752382.1397421125,281.0,89091.0,317.0498220640569,1046367.492179684
67751147.4226559,27745325.030634686,285.0,87318.0,306.37894736842105,1039046.4739427516
20614528.394199844,7875964.589768279,283.0,89041.0,314.63250883392226,1101340.2748442357
6458405.918884143,2334423.658852066,282.0,88461.0,313.6914893617021,1082682.2275162216
10940233.138126958,4083267.9911532486,282.0,88560.0,314.0425531914894,1077701.4591821334
50820505.77912908,20446404.295697927,284.0,87914.0,309.556338028169,1054795.2045725056
31629167.22418059,12675772.81574966,282.0,88501.0,313.8333333333333,1049292.8055555555
6997470.126843237,2613268.5930270716,278.0,89101.0,320.5071942446043,1077557.2931137104
17966407.33249688,6871155.501944274,277.0,87875.0,317.2382671480144,1115243.7338424847
9986576.848369628,3816487.612144756,273.0,87915.0,322.032967032967,1072306.76448094
29885600.10026789,11738915.642301887,280.0,88161.0,314.86071428571427,1102200.2127423468
14060453.831298344,5353012.878951551,280.0,88493.0,316.0464285714286,1084971.5442729592
3369374.3485272275,1195369.7615824854,279.0,89309.0,320.10394265232975,1085029.655862592
22250747.667135753,8574782.281710494,281.0,88678.0,315.5800711743772,1108327.7382505285
3642288.73431886,1278377.9432516326,283.0,87932.0,310.71378091872793,1051063.8509408284
6567242.773325532,2320568.822897362,285.0,88684.0,311.1719298245614,1126713.4335980304
4016334.727290607,1407078.6707845805,283.0,88614.0,313.12367491166077,1080708.984704516
5264499.086878063,1892649.6543017896,278.0,89905.0,323.3992805755396,1143689.1607189071
6483234.92227071,2398995.4826007877,277.0,87983.0,317.6281588447653,1069654.349098776
1667111.0520117655,553380.9308043078,278.0,87968.0,316.431654676259,1114320.8856166867
48846834.9389454,19718793.14541158,283.0,88949.0,314.30742049469967,1073800.3189202014
9958758.744972639,3732847.9062141185,274.0,89160.0,325.4014598540146,1135432.1453993288
19463426.901733946,7573636.3031398095,285.0,87057.0,305.46315789473687,1005115.5679409048
68766976.88762106,28624184.588592365,282.0,87222.0,309.29787234042556,1015403.8474422815
5017088.063248524,1792967.8986458536,282.0,87898.0,311.6950354609929,1074334.6587696795
5648378.495645586,2055536.2023301723,282.0,86973.0,308.4148936170213,1030804.9661611589
4654788.736165892,1658819.5224780187,282.0,89565.0,317.6063829787234,1113453.0826542932
13182923.025224455,5032600.926448347,282.0,87357.0,309.77659574468083,1030455.1309416025
