,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,r,xi,xip
19,15804300.952315908,6083570.327568304,281.0,87759.0,728.0076274286977,5483462.227524151,301.3670348137776,0.0015615480427046261,0.0014560152548573953,269.650481170335,0.09666620418531703,0.9998672357723603,0.9996681555165154
20,13984279.0688694,5324983.980557911,281.0,88292.0,732.3669334376452,5592471.250378459,301.3926351971122,0.0015710320284697508,0.0014647338668752905,269.5350617327834,0.09592030965194369,0.9998690441308236,0.9996726746248275
21,7589542.444661691,2765647.5354724005,280.0,89118.0,741.7267699864308,5831667.540511202,300.3734110932464,0.001591392857142857,0.0014834535399728616,267.99048117714807,0.09435184375318145,0.9998728105186323,0.9996820869493747
22,18878514.024022155,7357144.366558616,281.0,88483.0,734.1653137432053,5548058.243466924,301.30475501785077,0.0015744306049822064,0.0014683306274864104,269.81612085637676,0.09716373161365811,0.9998676716642967,0.9996692448131668
23,15967589.528985567,6157758.503328098,278.0,88129.0,739.1383293074473,5638719.716455059,298.0801986096922,0.0015850539568345323,0.0014782766586148945,266.8031185899064,0.09690091377239557,0.9998689173488885,0.9996723577945344
24,31059124.86101565,12307881.70419737,281.0,86988.0,721.3487638707238,5451477.788185178,301.47691504046685,0.0015478291814946619,0.0014426975277414477,270.1274723308856,0.09546272061884035,0.9998676783081766,0.9996692614162749
25,13350743.926709156,5110438.272909226,280.0,89348.0,744.1407563497938,5688834.467570638,300.171705546258,0.0015955000000000001,0.0014882815126995876,268.59365747753566,0.0973517355465376,0.9998691927563385,0.9996730460427651
26,10568956.557649711,3879318.150578848,289.0,89640.0,722.2791785926548,5658974.618224839,310.2678391431053,0.0015508650519031142,0.0014445583571853094,276.8317781017689,0.09219935424732502,0.9998723657151126,0.9996809753655032
27,42296448.44412218,17001548.46694483,281.0,88167.0,731.2123569497763,5614294.07269174,301.4411585157874,0.0015688078291814947,0.0014624247138995525,270.3518098834439,0.0952463745857403,0.9998697588071658,0.999674460615871
28,12796176.319074873,4886550.326820591,280.0,87784.0,730.9571555391241,5489035.469595723,300.2364753350493,0.0015675714285714286,0.001461914311078248,268.5374015917977,0.09735217169943255,0.9998668332242362,0.9996671495475227
29,3269062.531408998,1155162.251231689,283.0,89021.0,733.5995983562722,5467742.172808863,303.37053141612756,0.0015728091872791521,0.0014671991967125442,270.06339786444147,0.09843927689186774,0.9998658313477171,0.9996646458603122
30,35452962.45025112,13896131.949322749,283.0,88003.0,724.1624481954241,5681599.427116618,303.80959486127387,0.0015548233215547703,0.001448324896390848,272.0716929979655,0.09231169968436172,0.9998725425018985,0.9996814171634031
31,6933428.863946303,2539875.136795992,277.0,87778.0,738.7502792973925,5669331.9344459325,297.0489570693751,0.0015844404332129964,0.001477500558594785,265.0838856585259,0.09627644063192882,0.9998696935921482,0.9996742976420268
