,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,St,alpha0,beta0
0,35345.538871149336,6530.215434742409,528.0,945647.0,1790.998106060606,30211032.88446611,1129.11629927881,0.04750770027462801,0.02221566171795173,563.8632115028337,0.11714903476056901,1453358.4214439583
1,33790.99138357355,6236.856298715084,522.0,967363.0,1853.1858237547888,31434712.40416685,1116.3934995094876,0.04915728071973344,0.022984817223474688,557.5037656787848,0.11975495024588592,1470956.3055571269
2,33467.937446549295,6223.294675418149,523.0,943734.0,1804.4627151051625,29931128.076525707,1114.2514295002989,0.04786486012233484,0.02246649291283176,558.5317613709263,0.12168720265827168,1414954.8031844888
3,33902.939109296494,6244.617461329183,526.0,966746.0,1837.9201520912547,31358944.78830112,1127.0368579649225,0.04875234620225521,0.02275323466234355,561.825098306526,0.11918357965132731,1463116.516962898
4,31856.68980520228,5795.462227461047,531.0,950396.0,1789.8229755178909,28827299.957362898,1151.591737711803,0.04747652896885278,0.021891470785082936,567.6292981352483,0.12100464082510368,1386516.7044842977
5,34623.090572499525,6494.42153159726,524.0,953089.0,1818.87213740458,29953691.48174277,1108.0019019082483,0.04824708192000999,0.022817172860934987,559.3360210308349,0.12109781383034054,1444035.0080144485
6,35617.53409168747,6670.098379838895,524.0,958825.0,1829.8187022900763,30609127.049192213,1108.2564866572047,0.048537448571910474,0.02294922101326529,559.2785611057188,0.11905783150080314,1477277.8043155747
7,33815.853560671225,6258.916156672199,519.0,945018.0,1820.8439306358384,30240929.291634645,1108.704314076973,0.0482993853599283,0.022609617986985173,554.2927568236338,0.12020273027399946,1441554.561336008
8,35904.155793442726,6683.639244774031,529.0,962120.0,1818.7523629489604,30798832.78744716,1123.7925971375087,0.04824390480389865,0.022709729274128333,564.7171592033524,0.1175187698603834,1481006.3225344848
9,34570.9130620408,6353.749207550954,527.0,952452.0,1807.3092979127132,30230586.065625124,1131.3849749908727,0.04794036807645853,0.02233066068116864,562.9231514851588,0.11759029788597683,1455399.6771817694
10,34530.99491611362,6362.632966175703,528.0,959841.0,1817.8806818181815,30689971.29826317,1131.1301869702238,0.04822078274377143,0.022508968094033854,563.9340818101186,0.11810591206502992,1460616.2907818859
11,35545.647080513605,6689.700039497855,529.0,953845.0,1803.109640831758,29673563.504046943,1115.73850667025,0.047828968712504374,0.022676930389740984,564.569270724362,0.120063193855706,1447526.6470988817
12,34426.77238796445,6370.434249729688,530.0,967723.0,1825.8924528301889,30460448.37522606,1131.7475375802599,0.04843330157035164,0.022681427597509535,565.9907679367204,0.11903747528762666,1460289.19346673
13,31729.110576082243,5735.797390301288,534.0,947159.0,1773.705992509363,29347646.200076453,1164.2383589107487,0.0470490127165969,0.021579921841923075,570.9868877782451,0.12015702660595688,1376426.0614522886
14,34374.016493774965,6399.860256737851,529.0,953380.0,1802.2306238185256,29687849.538495068,1125.3784405951922,0.0478056520620514,0.022471720648433783,564.8500575811528,0.12021954456603838,1432562.047793141
15,34953.301853627505,6461.399717251674,535.0,972274.0,1817.3345794392524,30735840.469365016,1143.0915631424705,0.04820629692826462,0.022561944894179193,571.3202431155839,0.11792639167408404,1466282.7196942223
16,35202.66431780349,6474.346382668835,537.0,958798.0,1785.4711359404098,29891603.455870777,1152.4320958239243,0.04736109283880293,0.022068898416313258,573.5749989819135,0.11660689529989395,1450469.5490850701
17,35042.432898851795,6448.995167880752,529.0,957571.0,1810.1531190926275,31162039.49073224,1134.0793468025838,0.04801580277613399,0.022397339075249448,564.9957323396401,0.1169938192367604,1467187.7713511663
18,31949.01552243484,5681.837440691648,532.0,966409.0,1816.558270676692,30831179.63006318,1172.3156411254622,0.048185704698776775,0.021866802762384868,569.0614423471817,0.11689281065054215,1433671.5885575237
19,34191.66206057738,6331.167773059191,524.0,959867.0,1831.807251908397,31156537.239565726,1118.3905965321092,0.04859019648880034,0.022765984477231237,559.581021449307,0.11958283659283804,1459048.6623985535
20,32300.85105449908,5915.382693478794,522.0,947826.0,1815.7586206896551,29624490.501123004,1125.273443628791,0.048164493324080064,0.022342894216086803,557.8152075362242,0.1212686282547745,1412027.505758603
