rho,lambd,S,Nsum,Nmean,Nsd
35345.538871149336,6530.215434742409,528.0,945647.0,1790.998106060606,30211032.88446611
33790.99138357355,6236.856298715084,522.0,967363.0,1853.1858237547892,31434712.404166855
33467.937446549295,6223.294675418149,523.0,943734.0,1804.4627151051625,29931128.076525707
33902.939109296494,6244.617461329183,526.0,966746.0,1837.9201520912547,31358944.788301118
31856.68980520228,5795.462227461047,531.0,950396.0,1789.8229755178909,28827299.957362898
34623.090572499525,6494.42153159726,524.0,953089.0,1818.8721374045801,29953691.481742766
35617.53409168747,6670.098379838895,524.0,958825.0,1829.8187022900763,30609127.049192213
33815.853560671225,6258.916156672199,519.0,945018.0,1820.8439306358382,30240929.291634645
35904.155793442726,6683.639244774031,529.0,962120.0,1818.7523629489604,30798832.787447162
34570.913062040796,6353.749207550954,527.0,952452.0,1807.3092979127134,30230586.065625124
34530.99491611362,6362.632966175703,528.0,959841.0,1817.8806818181818,30689971.29826317
35545.647080513605,6689.700039497855,529.0,953845.0,1803.109640831758,29673563.504046943
34426.77238796445,6370.4342497296875,530.0,967723.0,1825.8924528301886,30460448.37522606
31729.110576082243,5735.797390301288,534.0,947159.0,1773.7059925093633,29347646.200076453
34374.016493774965,6399.860256737851,529.0,953380.0,1802.2306238185256,29687849.538495068
34953.301853627505,6461.399717251674,535.0,972274.0,1817.3345794392524,30735840.469365016
35202.66431780349,6474.346382668835,537.0,958798.0,1785.4711359404098,29891603.455870777
35042.432898851795,6448.995167880752,529.0,957571.0,1810.1531190926275,31162039.490732238
31949.015522434842,5681.837440691648,532.0,966409.0,1816.5582706766918,30831179.63006318
34191.66206057738,6331.167773059191,524.0,959867.0,1831.807251908397,31156537.239565726
32300.85105449908,5915.382693478794,522.0,947826.0,1815.7586206896551,29624490.501123004
