,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,alpha0,beta0,Sdown
25,1129501.9327889618,396794.1304721389,248.0,22423.0,90.41532258064515,80164.15412005727,333.83342159985943,0.0018083064516129033,0.0013433645973815488,0.11234119203804357,5978.949364034822,244.6519116907931
26,11395377.959655505,4609231.116109884,244.0,22566.0,92.48360655737704,81424.59399355027,321.0569966097367,0.0018496721311475409,0.0014057317073472952,0.10988716219815138,6396.25084144244,241.03889559869407
27,177989322.92466375,82549739.49432956,247.0,22165.0,89.73684210526316,73448.87406776055,320.1251902739731,0.0017947368421052632,0.0013847707505323468,0.11041767497718763,6270.602740088673,244.17380464364203
28,8350685.166070849,3218746.900806184,245.0,22163.0,90.46122448979592,83738.52604748035,324.97058693481387,0.0018092244897959186,0.0013640003674822237,0.10377076525058591,6572.180344764886,241.95641359126438
29,86956953.68005341,40301325.2970648,247.0,22945.0,92.89473684210526,77745.80268484986,319.25123957300457,0.0018578947368421053,0.0014374258988431,0.11712278282860163,6136.406018232337,244.18907654401167
30,9639216.67357245,3848480.986690172,249.0,21591.0,86.71084337349397,71381.4344607342,329.1551949345826,0.0017342168674698794,0.0013119039487917586,0.10916884414401117,6008.600526452159,245.87548249305001
31,23222249.7377045,10199716.805728976,243.0,21758.0,89.53909465020575,70618.47892428322,316.3994592729915,0.001790781893004115,0.0013753500116589676,0.11943234514008338,5757.862369887343,240.09796835351705
32,8808722.441849865,3583676.353002594,247.0,22323.0,90.37651821862347,75588.19426641986,324.92495971411273,0.0018075303643724698,0.0013740403334752142,0.11424128413632846,6013.7643928946045,243.9563876711159
33,370262972.4873918,168261720.52827275,239.0,22498.0,94.13389121338912,93580.19127816378,310.31945836802333,0.0018826778242677824,0.0014499896408892606,0.10018113007970532,7236.840110186575,236.34331521618373
34,236317721.2752187,110149713.67074084,242.0,21878.0,90.40495867768595,77736.81121508109,313.46838169726976,0.001808099173553719,0.0013958664591013552,0.10895665634130156,6405.604329160349,239.2528034013455
35,8836088.14468053,3525028.0348145054,243.0,21801.0,89.71604938271605,76968.06340496855,320.76139143402247,0.001794320987654321,0.0013593281848875043,0.11004856405774716,6176.037808972261,239.9873289870182
36,2373869.509112482,847173.5265923212,247.0,22287.0,90.23076923076924,82369.75646216144,331.5523816017997,0.0018046153846153845,0.0013444029502865753,0.10445622164839209,6435.245929208229,243.77087316474504
37,4207893.315418877,1619557.391752747,245.0,22085.0,90.14285714285714,76022.71020408136,324.964785525654,0.0018028571428571427,0.0013592241980481619,0.1120217533660587,6066.786839189001,241.88756619955737
