,R,Smean,Ssd
571,342.8931527591907,292.07030189991804,5.907210998518754
572,343.1831258788849,292.1052256002342,5.908218301086099
573,343.47285419209976,292.14008386581264,5.90922388951675
574,343.7623383178156,292.1748769292759,5.91022776964783
575,344.0515788724085,292.2096050220234,5.911229947283078
576,344.3405764696662,292.24426837425193,5.912230428207237
577,344.62933172080244,292.27886721495236,5.91322921816018
578,344.91784523447285,292.3134017719303,5.914226322862294
579,345.2061176167894,292.3478722718021,5.9152217480003975
580,345.4941494713355,292.38227894001244,5.9162154992371105
581,345.7819413991806,292.41662200083476,5.917207582203915
582,346.06949399889504,292.45090167738545,5.918198002501609
583,346.3568078665643,292.48511819163247,5.919186765707127
584,346.6438835958035,292.5192717643955,5.920173877368248
585,346.930721777772,292.553362615356,5.921159343004681
586,347.21732300118714,292.5873909630756,5.922143168103646
587,347.5036878523386,292.6213570249872,5.923125358135669
588,347.7898169151024,292.6552610174154,5.924105918534594
589,348.07571077095474,292.68910315557946,5.925084854710331
590,348.3613699989857,292.72288365359475,5.926062172047125
591,348.64679517591304,292.75660272449494,5.927037875897866
592,348.9319868760959,292.7902605802239,5.928011971596138
593,349.2169456715479,292.82385743165264,5.9289844644441985
594,349.50167213195084,292.8573934885806,5.929955359718398
595,349.7861668246681,292.8908689597471,5.930924662671916
596,350.0704303147574,292.9242840528374,5.931892378528033
597,350.3544631649842,292.95763897448893,5.932858512487844
598,350.63826593583474,292.99093393029796,5.933823069726492
599,350.92183918552865,293.02416912482664,5.934786055388578
600,351.20518347003207,293.05734476161115,5.9357474746026
601,351.48829934307025,293.090461043168,5.936707332465239
602,351.7711873561401,293.12351817100057,5.937665634048501
603,352.0538480585229,293.1565163456039,5.938622384403388
604,352.3362819972964,293.189455766473,5.939577588555829
605,352.6184897173477,293.22233663211284,5.940531251504618
606,352.900471761385,293.25515914003705,5.941483378223364
607,353.1822286699502,293.28792348678473,5.942433973669138
608,353.46376098143054,293.32062986791396,5.943383042766967
609,353.745069232071,293.35327847802216,5.944330590418015
610,354.0261539559861,293.3858695107394,5.945276621511502
611,354.3070156851716,293.4184031587433,5.9462211408954735
612,354.58765494951643,293.4508796137631,5.947164153408722
613,354.86807227681413,293.4832990665868,5.948105663861518
614,355.14826819277476,293.5156617070624,5.949045677039766
615,355.42824322103604,293.54796772410947,5.949984197711966
616,355.7079978831749,293.5802173057223,5.950921230617986
617,355.9875326987192,293.61241063898103,5.951856780477642
618,356.26684818515815,293.6445479100452,5.952790851986586
619,356.54594485795434,293.6766293041747,5.953723449822563
620,356.8248232305542,293.70865500572376,5.954654578638355
621,357.10348381439957,293.74062519815755,5.955584243063852
622,357.38192711893817,293.7725400640422,5.956512447706414
623,357.66015365163463,293.80439978507127,5.957439197155133
624,357.93816391798146,293.83620454205374,5.958364495972682
625,358.2159584215095,293.8679545149243,5.9592883487094825
626,358.49353766379875,293.89964988276137,5.960210759883296
627,358.7709021444888,293.9312908237674,5.961131733998688
628,359.0480523612894,293.9628775153002,5.962051275534116
629,359.3249888099909,293.99441013386206,5.962969388948531
630,359.6017119844745,294.02588885511153,5.963886078684851
631,359.87822237672265,294.0573138538677,5.964801349156339
632,360.1545204768291,294.08868530411416,5.965715204764883
633,360.4306067730092,294.12000337900673,5.966627649882839
634,360.70648175160983,294.1512682508756,5.9675386888746615
635,360.98214589711955,294.1824800912343,5.968448326071159
636,361.25759969217836,294.2136390707809,5.969356565790848
637,361.5328436175876,294.24474535940425,5.970263412329176
638,361.80787815231986,294.27579912619416,5.971168869966107
639,362.08270377352846,294.3068005394349,5.9720729429591515
640,362.35732095655754,294.3377497666251,5.972975635543761
641,362.6317301749511,294.3686469744686,5.973876951938468
642,362.90593190046286,294.3994923288874,5.9747768963454675
643,363.17992660306584,294.4302859950244,5.9756754729420924
644,363.4537147509613,294.46102813725287,5.976572685889761
645,363.7272968105886,294.49171891916916,5.977468539329757
646,364.0006732466341,294.52235850360955,5.978363037387514
647,364.2738445220405,294.5529470526522,5.979256184165723
648,364.54681109801606,294.5834847276166,5.980147983749122
649,364.81957343404355,294.613971689075,5.9810384402069525
650,365.0921319878893,294.6444080968504,5.98192755758486
651,365.36448721561214,294.6747941100281,5.98281533991876
652,365.6366395715726,294.70512988695333,5.983701791218783
653,365.90858950844125,294.7354155852397,5.984586915476732
654,366.18033747720784,294.76565136177766,5.9854707166706085
655,366.45188392718995,294.79583737272657,5.986353198760776
656,366.7232293060416,294.8259737735359,5.987234365685991
657,366.99437405976187,294.8560607189324,5.9881142213698295
658,367.2653186327036,294.8860983629366,5.988992769716517
659,367.53606346758164,294.9160868588621,5.9898700146176695
660,367.80660900548133,294.9460263593231,5.990745959942801
661,368.0769556858673,294.97591701623173,5.991620609544022
662,368.3471039465911,295.0057589808134,5.992493967257453
663,368.6170542239,295.0355524035976,5.993366036904501
664,368.8868069524451,295.0652974344342,5.994236822290049
665,369.1563625652894,295.09499422248996,5.995106327194598
666,369.42572149391583,295.1246429162529,5.99597455539032
667,369.6948841682356,295.1542436635447,5.996841510630598
668,369.963851016596,295.18379661151226,5.997707196647677
669,370.2326224657882,295.2133019066388,5.998571617163996
670,370.5011989410557,295.242759694752,5.999434775882919
671,370.76958086610153,295.2721701210158,6.000296676489509
672,371.0377686630965,295.301533329946,6.001157322656903
673,371.3057627526865,295.3308494654082,6.002016718037937
674,371.57356355400094,295.36011867062166,6.0028748662714735
