,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,r,xi,xip
37,4207893.315418877,1619557.391752747,245.0,22085.0,743.6665925404177,4936898.274154674,296.9744805203105,0.0018028571428571427,0.0014873331850808354,0.11203863023524922,0.9998493656236683,0.9984956956362301
38,2340226.761448304,863324.0565106717,252.0,21871.0,714.6857907779342,4587377.7072956655,306.0225945753512,0.001735793650793651,0.0014293715815558684,0.111361086948196,0.9998442060287207,0.9984442416871006
39,7103202.400934636,2727833.4301704816,239.0,22131.0,761.9542706581329,5532497.737750333,290.45050145705596,0.001851966527196653,0.0015239085413162657,0.10495336966527416,0.9998622766231862,0.9986244712140859
40,74029052.8006829,33829966.68041225,240.0,22227.0,766.2667500002026,5078111.4447074365,290.06869996635146,0.00185225,0.001532533500000405,0.11564404458947644,0.9998491039910519,0.9984930863957572
41,4685665.338444779,1916684.8500785744,243.0,21905.0,748.265649352527,4514710.916365687,292.7436267982415,0.0018028806584362142,0.0014965312987050541,0.12403768602562683,0.9998342605621459,0.9983450741997052
42,263344169768.42825,154652621027.6184,245.0,21889.0,735.887449615915,4942038.336098917,297.4503779270135,0.0017868571428571428,0.0014717748992318298,0.10959263152374786,0.9998510963696415,0.9985129565319534
43,2036675901.2015717,1047657279.103415,237.0,22409.0,781.6842151145105,5432405.461943488,286.67586688720917,0.001891054852320675,0.001563368430229021,0.11249494389958188,0.9998561071664126,0.9985629327172765
44,3212259593.850766,1597096603.8978567,247.0,22982.0,764.6827638147332,5723484.9002702525,300.5429321481093,0.0018608906882591095,0.0015293655276294664,0.10217863307148149,0.9998663956003835,0.9986655605866254
45,183754336.11332425,86267625.715207,244.0,21569.0,728.9725720039894,4713755.546821006,295.8821885534805,0.0017679508196721313,0.0014579451440079787,0.11275154136358498,0.9998453520627527,0.998455670074464
46,67218292.95974769,28953665.16493797,254.0,22440.0,725.3543388519627,5051394.4125268785,309.3660408169113,0.0017669291338582678,0.0014507086777039253,0.10417212270885255,0.999856405127057,0.9985659046292533
47,7567624.74971616,2874504.4240705203,249.0,22947.0,757.0657552722694,5615900.306308755,303.10445083792484,0.001843132530120482,0.0015141315105445387,0.10207193890738157,0.9998651924510801,0.9986535581055844
48,4892783.944125807,1938066.01771917,247.0,22016.0,736.5665682382132,4671368.408687148,298.90034315105925,0.001782672064777328,0.0014731331364764262,0.11615779787089588,0.9998423231687597,0.9984254660952481
