,N,Smean,Ssd
0,0.0,14.266748398079818,0.3522846977974581
1,1.0,17.80421185960578,0.42100192491624805
2,2.0,20.76073927675654,0.47971888576386384
3,3.0,23.189890874036244,0.5360172526750981
4,4.0,25.152326574146826,0.5898976074266737
5,5.0,26.529255770710837,0.6262685137974693
6,6.0,26.891944863657177,0.6091019835818264
7,7.0,25.395361516735235,0.4885740821110006
8,8.0,20.936670504843484,0.30492592181653816
9,9.0,13.273993413145625,0.3984359747941222
10,10.0,5.112292595571139,0.41310599127002157
11,11.0,0.7908458417648724,0.14265226671310458
12,12.0,0.024124176985164288,0.008974624658511614
13,13.0,3.7902126224525234e-05,3.028028132472263e-05
14,14.0,2.2758207723634552e-10,4.398022340459359e-10
15,15.0,0.0,0.0
