,N,Smean,Ssd
0,0.0,11.0922629616185,0.35986504015003423
1,1.0,13.868482566834547,0.41476737175707973
2,2.0,16.23311545687639,0.44673021647512545
3,3.0,18.272366919370945,0.4662337234557305
4,4.0,20.1268613801631,0.4842609576881275
5,5.0,21.894854760161984,0.5090646694825591
6,6.0,23.6072744040669,0.544731018661101
7,7.0,25.20979841102555,0.5886662998371968
8,8.0,26.516821942679147,0.6270925538552172
9,9.0,27.117569051297075,0.6286808413127674
10,10.0,26.248129958465825,0.5434321127304252
11,11.0,22.797790424373055,0.3546601738927943
12,12.0,16.018928098225498,0.340561543274743
13,13.0,7.494146774470894,0.45170101457453726
14,14.0,1.6486889243324305,0.23320814192487213
15,15.0,0.0940977612401035,0.027803091528716524
16,16.0,0.0004719760354638598,0.0002918488210232154
17,17.0,2.5011551698729285e-08,3.610750235628486e-08
18,18.0,0.0,0.0
