,N,Smean,Ssd
0,0.0,14.359949989075771,0.4109197301637313
1,1.0,17.784392976551597,0.5042359509959969
2,2.0,20.573645991912027,0.5852503089391969
3,3.0,22.804932815496116,0.6580415459482479
4,4.0,24.567285510739342,0.7218871612782028
5,5.0,25.786708169846904,0.7641925324498575
6,6.0,26.115106776378642,0.7545600587770488
7,7.0,24.83192277226635,0.6475271191009011
8,8.0,20.929953015374494,0.4440559289498937
9,9.0,13.966018675160285,0.3913147473482664
10,10.0,5.968265336887292,0.41999446759056325
11,11.0,1.1218880977006254,0.17981050890844266
12,12.0,0.048770401745787124,0.0162487755804191
13,13.0,0.0001494298465091714,0.00010583194754198788
14,14.0,3.1991941437477513e-09,5.703660184062723e-09
15,15.0,0.0,0.0
